Bulan;Tahun;BI-Rate
January;2014;7,5
February;2014;7,5
March;2014;7,5
April;2014;7,5
May;2014;7,5
June;2014;7,5
July;2014;7,5
August;2014;7,5
September;2014;7,5
October;2014;7,5
November;2014;7,5
December;2014;7,5
January;2014;7,5
February;2014;7,5
March;2014;7,5
April;2014;7,5
May;2014;7,5
June;2014;7,5
July;2014;7,5
August;2014;7,5
September;2014;7,5
October;2014;7,5
November;2014;7,75
December;2014;7,75
January;2015;7,75
February;2015;7,5
March;2015;7,5
April;2015;7,5
May;2015;7,5
June;2015;7,5
July;2015;7,5
August;2015;7,5
September;2015;7,5
October;2015;7,5
November;2015;7,5
December;2015;7,5
January;2016;7,25
February;2016;7
March;2016;6,75
April;2016;6,75
May;2016;6,75
June;2016;6,5
July;2016;6,5
August;2016;5,25
September;2016;5
October;2016;4,75
November;2016;4,75
December;2016;4,75
January;2017;4,75
February;2017;4,75
March;2017;4,75
April;2017;4,75
May;2017;4,75
June;2017;4,75
July;2017;4,75
August;2017;4,5
September;2017;4,25
October;2017;4,25
November;2017;4,25
December;2017;4,25
January;2018;4,25
February;2018;4,25
March;2018;4,25
April;2018;4,25
May;2018;4,75
June;2018;5,25
July;2018;5,25
August;2018;5,5
September;2018;5,75
October;2018;5,75
November;2018;6
December;2018;6
January;2019;6
February;2019;6
March;2019;6
April;2019;6
May;2019;6
June;2019;6
July;2019;5,75
August;2019;5,5
September;2019;5,25
October;2019;5
November;2019;5
December;2019;5
January;2020;5
February;2020;4,75
March;2020;4,5
April;2020;4,5
May;2020;4,5
June;2020;4,25
July;2020;4
August;2020;4
September;2020;4
October;2020;4
November;2020;3,75
December;2020;3,75
January;2021;3,75
February;2021;3,5
March;2021;3,5
April;2021;3,5
May;2021;3,5
June;2021;3,5
July;2021;3,5
August;2021;3,5
September;2021;3,5
October;2021;3,5
November;2021;3,5
December;2021;3,5
January;2022;3,5
February;2022;3,5
March;2022;3,5
April;2022;3,5
May;2022;3,5
June;2022;3,5
July;2022;3,5
August;2022;3,75
September;2022;4,25
October;2022;4,75
November;2022;5,25
December;2022;5,5
January;2023;5,75
February;2023;5,75
March;2023;5,75
April;2023;5,75
May;2023;5,75
June;2023;5,75
July;2023;5,75
August;2023;5,75
September;2023;5,75
October;2023;6
November;2023;6
December;2023;6
January;2024;6
February;2024;6
March;2024;6
April;2024;6,25
May;2024;6,25
June;2024;6,25
July;2024;6,25
August;2024;6,25
September;2024;6
October;2024;6
November;2024;6
December;2024;6
January;2025;5,75
