Property;Infra; ConsumerCyclicals;Energy;Transport;Industri;Finance;ConsumerNonCyclicals ;Basic_Materials;Tech;Health
APLN.JK;ADHI.JK;ACES.JK;ABMM.JK;AKSI.JK;AMFG.JK;AGRO.JK;AALI.JK;ANTM.JK;EMTK.JK;KLBF.JK
ASRI.JK;CMNP.JK;AUTO.JK;ADRO.JK;ASSA.JK;ARNA.JK;ASGR.JK;AISA.JK;BRMS.JK;KREN.JK;MIKA.JK
SMRA.JK;CASS.JK;BMTR.JK;AKRA.JK;SMDR.JK;ASII.JK;BACA.JK;AMRT.JK;BRPT.JK;LMAS.JK;SAME.JK
BSDE.JK;EXCL.JK;ERAA.JK;BUMI.JK;TMAS.JK;HEXA.JK;BBCA.JK;BISI.JK;ESSA.JK;MLPT.JK;SIDO.JK
CTRA.JK;TLKM.JK;GJTL.JK;BYAN.JK;CMPP.JK;ASGR.JK;BBKP.JK;BUDI.JK;INCO.JK;MTDL.JK;SILO.JK
DILD.JK;JKON.JK;GWSA.JK;DEWA.JK;GIAA.JK;JTPE.JK;BBNI.JK;BWPT.JK;INKP.JK;PTSN.JK;SRAJ.JK
MDLN.JK;JSMR.JK;IMAS.JK;DOID.JK;IMJS.JK;KBLI.JK;BBRI.JK;CPIN.JK;INTP.JK;SKYB.JK;TSPC.JK
KIJA.JK;PTPP.JK;LPPF.JK;DSSA.JK;NELY.JK;LION.JK;BBTN.JK;DSNG.JK;ISSP.JK;MCAS.JK;SCPI.JK
LPCK.JK;SSIA.JK;MAPI.JK;ELSA.JK;MIRA.JK;MLIA.JK;BCAP.JK;GGRM.JK;LTLS.JK;KIOS.JK;MERK.JK
LPKR.JK;TBIG.JK;MNCN.JK;ENRG.JK;MITI.JK;UNTR.JK;BDMN.JK;ICBP.JK;SMBR.JK;ATIC.JK;PYFA.JK
