Tanggal Penerbitan;Waktu;Aktual;Perkiraan;Sebelumnya;
02/01/2025;11:00;0,44%;0,44%;0,30%;
02/12/2024;11:00;0,30%;0,26%;0,08%;
01/11/2024;09:00;0,08%;0,00%;-0,12%;
01/10/2024;11:00;-0,12%;;-0,03%;
02/09/2024;11:00;-0,03%;0,00%;-0,18%;
01/08/2024;11:00;-0,18%;0,10%;-0,08%;
01/07/2024;11:00;-0,08%;0,06%;-0,03%;
03/06/2024;11:00;-0,03%;0,05%;0,25%;
02/05/2024;11:00;0,25%;0,21%;0,52%;
01/04/2024;11:00;0,52%;0,39%;0,37%;
01/03/2024;09:00;0,37%;0,23%;0,04%;
01/02/2024;11:00;0,04%;0,29%;0,41%;
02/01/2024;11:00;0,41%;0,50%;0,38%;
01/12/2023;09:15;0,38%;0,22%;0,17%;
01/11/2023;11:00;0,17%;0,24%;0,19%;
02/10/2023;11:00;0,19%;0,14%;-0,02%;
01/09/2023;09:00;-0,02%;0,10%;0,21%;
01/08/2023;11:00;0,21%;0,22%;0,14%;
03/07/2023;11:00;0,14%;0,24%;0,09%;
05/06/2023;11:00;0,09%;0,30%;0,33%;
02/05/2023;11:00;0,33%;0,37%;0,18%;
03/04/2023;11:00;0,18%;0,29%;0,16%;
01/03/2023;11:00;0,16%;0,11%;0,34%;
01/02/2023;11:00;0,34%;0,47%;0,66%;
02/01/2023;11:00;0,66%;0,52%;0,09%;
01/12/2022;11:00;0,09%;0,16%;-0,11%;
01/11/2022;11:00;-0,11%;0,16%;1,17%;
03/10/2022;11:00;1,17%;1,26%;-0,21%;
01/09/2022;11:00;-0,21%;-0,05%;0,64%;
01/08/2022;11:00;0,64%;0,53%;0,61%;
01/07/2022;11:00;0,61%;0,44%;0,40%;
02/06/2022;14:53;0,40%;0,41%;0,95%;
09/05/2022;11:00;0,95%;0,83%;0,66%;
01/04/2022;11:00;0,66%;0,61%;-0,02%;
01/03/2022;11:00;-0,02%;-0,02%;0,56%;
02/02/2022;11:00;0,56%;0,55%;0,57%;
03/01/2022;11:00;0,57%;0,52%;0,37%;
01/12/2021;11:00;0,37%;0,31%;0,12%;
01/11/2021;11:00;0,12%;0,11%;-0,04%;
01/10/2021;11:00;-0,04%;0,01%;0,03%;
01/09/2021;11:00;0,03%;0,03%;0,08%;
02/08/2021;11:00;0,08%;0,01%;-0,16%;
01/07/2021;11:00;-0,16%;-0,09%;0,32%;
02/06/2021;11:02;0,32%;0,32%;0,13%;
03/05/2021;11:01;0,13%;0,17%;0,08%;
01/04/2021;11:05;0,08%;0,14%;0,10%;
01/03/2021;11:06;0,10%;0,09%;0,26%;
01/02/2021;11:01;0,26%;0,36%;0,45%;
04/01/2021;11:02;0,45%;0,37%;0,28%;
01/12/2020;11:04;0,28%;0,21%;0,07%;
02/11/2020;11:01;0,07%;0,08%;-0,05%;
01/10/2020;13:10;-0,05%;-0,01%;-0,05%;
01/09/2020;11:01;-0,05%;0,01%;-0,10%;
03/08/2020;14:59;-0,10%;0,03%;0,18%;
01/07/2020;11:02;0,18%;0,02%;0,07%;
02/06/2020;11:00;0,07%;0,04%;0,08%;
04/05/2020;11:04;0,08%;0,17%;0,10%;
