Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,ABMM.JK,ADRO.JK,AKRA.JK,BUMI.JK,BYAN.JK,DEWA.JK,DOID.JK,DSSA.JK,ELSA.JK,ENRG.JK,ABMM.JK,ADRO.JK,AKRA.JK,BUMI.JK,BYAN.JK,DEWA.JK,DOID.JK,DSSA.JK,ELSA.JK,ENRG.JK,ABMM.JK,ADRO.JK,AKRA.JK,BUMI.JK,BYAN.JK,DEWA.JK,DOID.JK,DSSA.JK,ELSA.JK,ENRG.JK,ABMM.JK,ADRO.JK,AKRA.JK,BUMI.JK,BYAN.JK,DEWA.JK,DOID.JK,DSSA.JK,ELSA.JK,ENRG.JK,ABMM.JK,ADRO.JK,AKRA.JK,BUMI.JK,BYAN.JK,DEWA.JK,DOID.JK,DSSA.JK,ELSA.JK,ENRG.JK
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,2172.99755859375,289.90765380859375,581.3854370117188,305.0,588.3973999023438,50.0,85.68980407714844,1350.0,218.9441375732422,568.0,2191.1058715820313,303.5825431391878,587.8813636822408,310.0,588.3973999023438,50.0,88.51474267309838,1350.0,218.9441375732422,576.0,2172.99755859375,289.90765380859375,568.3935836706748,300.0,588.3973999023438,50.0,85.68980407714844,1350.0,215.67631462438783,552.0,2191.1058715820313,298.1125874069502,568.3935836706748,305.0,588.3973999023438,50.0,87.5730964744484,1350.0,215.67631462438783,552.0,478000,36983000.0,15900000,21895000,15000,500,7843000.0,5000,3683500.0,3637437
2014-01-03,2172.99755859375,276.2327575683594,581.3854370117188,305.0,588.3973999023438,50.0,84.74816131591797,1350.0,218.9441375732422,568.0,2172.99755859375,289.907646556892,594.3772903527628,310.0,588.3973999023438,50.0,86.63145378960503,1350.0,218.9441375732422,576.0,2172.99755859375,273.49777977065287,578.1374736764578,300.0,588.3973999023438,50.0,82.8648688422309,1350.0,215.67631462438783,560.0,2172.99755859375,287.1726687591855,587.8813636822408,305.0,588.3973999023438,50.0,85.68980755276151,1350.0,215.67631462438783,568.0,0,52823000.0,27807500,43620000,10000,101000,11395500.0,5000,3126500.0,7567812
2014-01-06,2191.10595703125,254.35293579101562,576.1887817382812,290.0,588.3973999023438,50.0,79.09828186035156,1350.0,223.5190887451172,544.0,2191.10595703125,276.2327582246514,584.6334876713114,303.0,588.3973999023438,50.0,84.74815913609096,1350.0,223.5190887451172,576.0,2169.3759805978825,247.51549128050448,565.1457047489343,290.0,585.0158056500314,50.0,76.27334322248187,1350.0,215.67631370142885,536.0,2169.3759805978825,276.2327582246514,584.6334876713114,303.0,588.3973999023438,50.0,84.74815913609096,1350.0,218.944136636299,568.0,10400,95833000.0,35629000,43570900,33000,5000300,5930900.0,4000,10203400.0,10353025
2014-01-07,2100.564453125,240.6780548095703,574.2398681640625,316.0,586.7066650390625,50.0,79.09828186035156,1350.0,235.28321838378906,560.0,2136.7810816271553,258.45541113073176,575.5390533861532,321.0,588.3974623446506,50.0,82.8648667108445,1350.0,235.28321838378906,576.0,2100.564453125,237.94307691400704,568.3935346646547,288.0,578.2526785111222,50.0,75.33169700985863,1350.0,223.51905746459963,536.0,2136.7810816271553,254.35294428738683,575.5390533861532,295.0,588.3974623446506,50.0,75.33169700985863,1350.0,223.51905746459963,544.0,1500,161316000.0,41564500,72373000,182000,0,10861300.0,4000,33294000.0,9410487
2014-01-08,2176.619384765625,257.0879211425781,577.4879150390625,312.0,588.3973999023438,50.0,79.09828186035156,1350.0,233.9761505126953,568.0,2176.619384765625,257.0879211425781,578.787100449724,323.0,588.3973999023438,50.0,80.98157428559803,1350.0,238.55110317635135,576.0,2176.619384765625,240.67805383560506,570.9919879857547,312.0,586.7066027761877,50.0,76.27334322248187,1350.0,230.7083271815124,560.0,2176.619384765625,242.0455427778528,575.5391369230701,320.0,586.7066027761877,50.0,80.0399280729748,1350.0,235.28327984516847,568.0,5000,160013700.0,37524500,73087200,40000,0,10860500.0,4000,11884100.0,4758675
2014-01-09,2172.99755859375,258.4554443359375,579.4367065429688,312.0,588.3973999023438,50.0,76.27334594726562,1350.0,234.62966918945312,544.0,2172.99755859375,265.29288995329034,583.9838555853463,318.0,588.3973999023438,50.0,79.09828468605323,1350.0,235.2832337275853,568.0,2100.564306640625,255.72046608899637,575.5391502209309,310.0,588.3973999023438,50.0,75.33169970100309,1350.0,232.0154110369244,544.0,2100.564306640625,257.08795521246697,577.4879283819498,312.0,588.3973999023438,50.0,79.09828468605323,1350.0,234.62966918945312,560.0,9000,119583300.0,32372000,25369700,10000,100,8293800.0,4000,10781300.0,4208812
2014-01-10,2136.78076171875,257.0879211425781,587.2317504882812,314.0,588.3973999023438,50.0,75.33170318603516,1350.0,233.9761505126953,552.0,2136.78076171875,263.9253658538169,594.3772695760811,321.0,588.3973999023438,50.0,78.15664205551147,1350.0,235.28327984516847,560.0,2100.5641386387715,254.3529432580826,578.137453467445,312.0,588.3973999023438,50.0,72.50676431655883,1350.0,225.47980985161976,544.0,2100.5641386387715,262.55787691156917,578.137453467445,312.0,588.3973999023438,50.0,74.39005689620971,1350.0,235.28327984516847,552.0,7000,54524100.0,43434500,60231800,12000,0,17782900.0,4000,6070600.0,4283012
2014-01-13,2136.78076171875,261.1903076171875,617.1131591796875,324.0,588.3973999023438,50.0,75.33170318603516,1350.0,233.9761505126953,552.0,2136.78076171875,262.5577961387434,617.1131591796875,328.0,588.3973999023438,50.0,79.09828834533691,1350.0,234.6297151789319,576.0,2136.78076171875,255.72035353096365,588.5310760176809,316.0,586.7066027761877,50.0,72.50676431655883,1350.0,231.36189184774898,552.0,2136.78076171875,258.45533057407556,591.129447214227,320.0,586.7066027761877,50.0,75.33170318603516,1350.0,233.3225858464587,552.0,0,60090400.0,45536000,95359700,222000,0,24639900.0,4000,12011000.0,6100775
