Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,125.0,190.5609588623047,121.49595642089844,454.734619140625,535.447021484375,56.0,704.5525512695312,95.03456115722656,15.030806541442871,10.314759254455566,125.0,205.2195016171496,121.49595642089844,454.734619140625,554.5701084919306,58.0,723.5945041528813,97.41042518615723,15.03080654144287,10.314759254455566,125.0,190.5609588623047,121.49595642089844,450.187255859375,535.447021484375,55.0,695.0315453692983,92.06473112106323,15.03080654144287,10.314759254455566,125.0,205.2195016171496,121.49595642089844,454.734619140625,545.0085649881528,58.0,714.0735571697642,97.41042518615723,15.03080654144287,10.314759254455566,1000,4033805.0,52429,1245781,1066063.0,1203500.0,9986,5500.0,1450000,0
2014-01-03,125.0,186.89633178710938,121.49595642089844,441.0925598144531,554.5702514648438,57.0,704.5525512695312,86.12507629394531,14.901228904724121,10.314759254455566,125.0,190.56097073382816,121.49595642089844,454.734619140625,554.5702514648438,58.0,704.5525512695312,89.0949065109779,15.03080480824346,10.314759254455566,125.0,183.23170495922622,121.49595642089844,441.0925598144531,525.8855550310706,56.0,704.5525512695312,86.12507629394531,14.90122890472412,10.314759254455566,125.0,190.56097073382816,121.49595642089844,454.734619140625,545.0087054960184,56.0,704.5525512695312,89.0949065109779,15.03080480824346,10.314759254455566,1000,669140.0,52429,3648831,2140150.0,2399500.0,9986,12500.0,2500000,0
2014-01-06,125.0,187.6292724609375,146.29104614257812,446.54937744140625,535.447021484375,56.0,714.0735473632812,93.84664154052734,14.901228904724121,10.314759254455566,125.0,189.09511838840925,146.29104614257812,450.187255859375,540.227763972623,58.0,714.0735473632812,93.84664154052734,14.90122890472412,10.314759254455566,125.0,185.43049145089387,146.29104614257812,443.82098388671875,525.8854194533154,56.0,695.0315358243223,74.24576071244252,14.90122890472412,10.314759254455566,125.0,186.89633737836562,146.29104614257812,443.82098388671875,540.227763972623,56.0,695.0315358243223,74.24576071244252,14.90122890472412,10.314759254455566,1000,191260.0,806,911850,130775.0,2249400.0,22903,505200.0,100000,0
2014-01-07,125.0,189.09512329101562,146.29104614257812,445.6399230957031,535.447021484375,58.0,695.0315551757812,75.43368530273438,14.849400520324707,10.314759254455566,125.0,189.09512329101562,146.29104614257812,447.4588623046875,535.447021484375,58.0,704.55256121035,81.37334556279221,14.849400520324707,10.314759254455566,125.0,186.1634192412268,146.29104614257812,445.6399230957031,530.6662204688452,56.0,685.5106080583291,75.43368530273438,14.849400520324707,10.314759254455566,125.0,187.62927732553936,146.29104614257812,446.54937744140625,535.447021484375,56.0,704.55256121035,81.37334556279221,14.849400520324707,10.314759254455566,1000,1000838.0,806,215290,314303.0,1198700.0,19597,200.0,10000,0
2014-01-08,125.0,190.5609588623047,146.29104614257812,454.734619140625,535.447021484375,57.0,695.0315551757812,87.90696716308594,14.849400520324707,10.314759254455566,125.0,191.29388175845472,146.29104614257812,454.734619140625,535.447021484375,58.0,714.0735672449185,87.90696716308594,14.849400520324707,10.314759254455566,125.0,189.82803596615466,146.29104614257812,445.6399230957031,530.6662204688452,56.0,666.4686549063084,78.99747724790831,14.849400520324707,10.314759254455566,125.0,190.5609588623047,146.29104614257812,446.54937744140625,530.6662204688452,58.0,714.0735672449185,78.99747724790831,14.849400520324707,10.314759254455566,1000,516673.0,806,7324162,6518.0,1213900.0,6032,567600.0,10000,0
2014-01-09,125.0,194.2255859375,146.29104614257812,451.09674072265625,535.447021484375,57.0,666.4686279296875,89.09489440917969,14.849400520324707,10.314759254455566,125.0,196.42436661297486,146.29104614257812,454.734619140625,540.227763972623,58.0,704.5525326922085,89.09489440917969,14.849400520324707,10.314759254455566,125.0,190.56094743876383,146.29104614257812,449.2778015136719,525.8854194533154,56.0,666.4686279296875,77.2155751546224,14.849400520324707,10.314759254455566,125.0,190.56094743876383,146.29104614257812,454.734619140625,525.8854194533154,57.0,695.0315270430211,77.2155751546224,14.849400520324707,10.314759254455566,1000,1324951.0,806,3910082,265563.0,368600.0,16525,594100.0,10000,0
2014-01-10,125.0,200.08900451660156,146.29104614257812,452.9156799316406,530.6661987304688,60.0,571.2587890625,88.50093078613281,14.849400520324707,10.314759254455566,125.0,200.08900451660156,146.29104614257812,453.82513427734375,540.2277418425646,60.0,675.9895533099655,88.50093078613281,14.849400520324707,10.314759254455566,125.0,194.95852001795828,146.29104614257812,446.54937744140625,521.104655618373,57.0,571.2587890625,88.50093078613281,14.849400520324707,10.314759254455566,125.0,197.15730082006752,146.29104614257812,450.187255859375,540.2277418425646,57.0,666.4686068786208,88.50093078613281,14.849400520324707,10.314759254455566,1000,4872750.0,806,11981713,21060.0,2603500.0,584959,545000.0,200000,0
2014-01-13,125.0,200.08900451660156,146.29104614257812,451.09674072265625,549.7893676757812,59.0,609.3427124023438,88.50093078613281,14.849400520324707,10.314759254455566,125.0,203.75363110756038,146.29104614257812,459.2819519042969,549.7893676757812,60.0,618.8637180598678,88.50093078613281,14.849400520324707,10.314759254455566,125.0,200.08900451660156,146.29104614257812,448.3683166503906,535.4470801133416,57.0,590.3007600044098,88.50093078613281,14.849400520324707,10.314759254455566,125.0,201.554862424286,146.29104614257812,452.9156799316406,535.4470801133416,60.0,590.3007600044098,88.50093078613281,14.849400520324707,10.314759254455566,1000,2001677.0,806,7907469,4385302.0,1408500.0,178085,572500.0,13950000,0
